employee_id,flight_risk_score,is_flight_risk_sim
EMP00001,0.8819481151257184,1
EMP00002,0.004644492362566319,0
EMP00003,0.00663743003689345,0
EMP00004,0.9953314064615976,1
EMP00005,0.0039028944643929486,0
EMP00006,0.0075838678228381945,0
EMP00007,0.013635663388156988,0
EMP00008,0.005042555391412068,0
EMP00009,0.004785602951892639,0
EMP00010,0.035525713448725564,0
EMP00011,0.9555346375979132,1
EMP00012,0.006307169588564295,0
EMP00013,0.9944806835131644,1
EMP00014,0.0032425844111490646,0
EMP00015,0.006388075649654953,0
EMP00016,0.007444295625137342,0
EMP00017,0.0022587242835921885,0
EMP00018,0.01073214884466146,0
EMP00019,0.9444568799430569,1
EMP00020,0.001915683534030098,0
EMP00021,0.009408247377867884,0
EMP00022,0.0011583431700037485,0
EMP00023,0.004210467096946848,0
EMP00024,0.0016558493359340178,0
EMP00025,0.012183248468827278,0
EMP00026,0.005043286167692162,0
EMP00027,0.9260933207121751,1
EMP00028,0.9796096817947404,1
EMP00029,0.004418901904585827,0
EMP00030,0.963923621826549,1
EMP00031,0.0012385605550948955,0
EMP00032,0.016883018637239847,0
EMP00033,0.9858760997956261,1
EMP00034,0.03075471943065197,0
EMP00035,0.016688314915842863,0
EMP00036,0.005680096038825122,0
EMP00037,0.965418383441461,1
EMP00038,0.018794517402710025,0
EMP00039,0.9548793687625634,1
EMP00040,0.01330922766182295,0
EMP00041,0.9307233568913552,1
EMP00042,0.8900901578942394,1
EMP00043,0.0025210921711263656,0
EMP00044,0.007164913303572384,0
EMP00045,0.08977858794150347,0
EMP00046,0.009669453293607314,0
EMP00047,0.005411592095212389,0
EMP00048,0.975066189302444,1
EMP00049,0.0028230654509865723,0
EMP00050,0.005678350867250815,0
EMP00051,0.002172749856516288,0
EMP00052,0.010834413465897495,0
EMP00053,0.0035547524788714525,0
EMP00054,0.005235093034817317,0
EMP00055,0.012276596516891015,0
EMP00056,0.011953352518568624,0
EMP00057,0.012731776252846966,0
EMP00058,0.998921294248062,1
EMP00059,0.011109978901348848,0
EMP00060,0.00418697199993761,0
EMP00061,0.0023802677696369064,0
EMP00062,0.9947004634612648,1
EMP00063,0.9148558365631142,1
EMP00064,0.9578533842043666,1
EMP00065,0.9068044248219442,1
EMP00066,0.007483968078481836,0
EMP00067,0.051779525903007134,0
EMP00068,0.02613815295032993,0
EMP00069,0.9710376158042522,1
EMP00070,0.0068591479341985236,0
EMP00071,0.009129776638478906,0
EMP00072,0.006008183740425396,0
EMP00073,0.009074536208579386,0
EMP00074,0.011563386645722455,0
EMP00075,0.007128668992859351,0
EMP00076,0.9899413657506024,1
EMP00077,0.01034556628646637,0
EMP00078,0.002317638061162652,0
EMP00079,0.020704629559858086,0
EMP00080,0.03892778273021872,0
