department,gender,education,avg_salary,median_salary,n,avg_log_salary,male_log_salary,log_gap,pct_gap,significant_gap
Marketing,P,D3,13146872.4,13100323.0,5,16.367699659079058,16.627974428020813,-0.2602747689417555,-22.91602461209542,True
Sales,P,D3,14327497.2,13179840.0,5,16.451581265327953,16.591190738801224,-0.13960947347327135,-13.030219084707728,True
Product,P,S1,21178879.75,20963498.5,20,16.856079229099883,16.958200492538328,-0.10212126343844474,-9.707994616039993,True
Research,P,S1,20776772.636363637,19513522.0,22,16.818826541970196,16.895955440168947,-0.07712889819875102,-7.422948423649456,True
Finance,P,S2,17770679.0,19553877.0,5,16.67746869051103,16.751999018682138,-0.07453032817110739,-7.182067634923572,True
Research,P,S2,20131954.333333332,19471805.0,6,16.783145255327373,16.849593772788605,-0.06644851746123237,-6.428891260134417,True
Engineering,P,S1,18621963.295454547,18496699.5,44,16.7075092880837,16.75388519125141,-0.046375903167710675,-4.531697364138476,False
Marketing,P,S1,13445576.111111112,13348228.0,18,16.390666771291095,16.43097484170433,-0.0403080704132357,-3.95065060589066,False
HR,P,S1,12280541.625,11409426.0,8,16.252984584546244,16.270070409858324,-0.017085825312079805,-1.694069035783663,False
Sales,P,S1,15907558.022727273,15715707.5,44,16.55525596125046,16.550702350282545,0.004553610967914068,0.45639944090722917,False
Engineering,P,D3,22979795.75,22015160.0,8,16.935612206605317,16.9142800444875,0.0213321621178153,2.1561319259766787,False
Operations,P,S1,11815559.25925926,11118519.0,27,16.247878001393968,16.214012169944592,0.033865831449375605,3.4445807322400546,False
Product,P,S2,23322267.333333332,22208746.5,6,16.917812766295988,16.883421005474574,0.03439176082141415,3.4989995846074207,False
Marketing,P,S2,13848456.0,15055713.0,7,16.412694425912715,16.37811319301024,0.03458123290247528,3.5186116133537393,False
Customer Success,P,S2,12213401.888888888,11389163.0,9,16.290309365799402,16.2438461986205,0.046463167178902864,4.7559493786512475,False
Data & Analytics,P,S1,21948894.92857143,20221990.0,14,16.8716232840334,16.814998538638196,0.05662474539520446,5.825861945628108,False
Sales,P,S2,16835357.846153848,16263866.0,13,16.606039891585855,16.541914781644806,0.06412510994104892,6.622578586251926,False
IT Infrastructure,P,S1,16523196.52173913,15763475.0,23,16.594131344833073,16.519497542447855,0.07463380238521822,7.74895045432511,False
Finance,P,S1,17160092.307692308,16838170.0,13,16.631904046714432,16.52989012248814,0.10201392422629141,10.739889129333768,False
Engineering,P,S2,20079550.5,19034501.5,20,16.78448773191203,16.66629332131687,0.11819441059515867,12.546289201068038,False
Customer Success,P,S1,14060628.2,13291703.0,25,16.42728755620887,16.307709206260093,0.11957834994877814,12.702154268820598,False
